t,S,I,R,C,beta,scen
262,0.340622,0.00329235,0.656086,0.659278,0.231049,3
263,0.340368,0.00317322,0.656459,0.659532,0.231049,3
264,0.340123,0.00305823,0.656819,0.659777,0.231049,3
265,0.339887,0.00294724,0.657166,0.660013,0.231049,3
266,0.33966,0.00284013,0.6575,0.66024,0.231049,3
267,0.339441,0.00273677,0.657822,0.660459,0.231049,3
268,0.33923,0.00263704,0.658133,0.66067,0.231049,3
269,0.339028,0.00254082,0.658432,0.660872,0.231049,3
270,0.338832,0.002448,0.65872,0.661068,0.231049,3
271,0.338644,0.00235847,0.658997,0.661256,0.231049,3
272,0.338463,0.00227211,0.659265,0.661437,0.231049,3
273,0.338289,0.00218883,0.659522,0.661611,0.231049,3
274,0.338121,0.00210852,0.659771,0.661779,0.231049,3
275,0.337959,0.00203107,0.66001,0.661941,0.231049,3
276,0.337804,0.0019564,0.66024,0.662096,0.231049,3
277,0.337654,0.00188441,0.660462,0.662246,0.231049,3
278,0.33751,0.001815,0.660675,0.66239,0.231049,3
279,0.337371,0.0017481,0.660881,0.662529,0.231049,3
280,0.337237,0.0016836,0.661079,0.662663,0.231049,3
281,0.337108,0.00162144,0.66127,0.662792,0.231049,3
282,0.336984,0.00156153,0.661454,0.662916,0.231049,3
283,0.336865,0.00150379,0.661631,0.663035,0.231049,3
284,0.33675,0.00144814,0.661802,0.66315,0.231049,3
285,0.33664,0.00139452,0.661966,0.66326,0.231049,3
286,0.336533,0.00134285,0.662124,0.663367,0.231049,3
287,0.336431,0.00129306,0.662276,0.663469,0.231049,3
288,0.336332,0.00124509,0.662423,0.663568,0.231049,3
289,0.336237,0.00119887,0.662564,0.663663,0.231049,3
290,0.336146,0.00115435,0.6627,0.663754,0.231049,3
291,0.336058,0.00111145,0.662831,0.663842,0.231049,3
292,0.335973,0.00107013,0.662957,0.663927,0.231049,3
293,0.335892,0.00103032,0.663078,0.664008,0.231049,3
294,0.335813,0.000991975,0.663195,0.664087,0.231049,3
295,0.335738,0.00095504,0.663307,0.664162,0.231049,3
296,0.335665,0.000919466,0.663416,0.664235,0.231049,3
297,0.335595,0.000885201,0.66352,0.664305,0.231049,3
298,0.335528,0.0008522,0.66362,0.664372,0.231049,3
299,0.335463,0.000820417,0.663717,0.664437,0.231049,3
300,0.3354,0.000789808,0.66381,0.6645,0.231049,3
301,0.33534,0.000760329,0.663899,0.66456,0.231049,3
302,0.335283,0.000731942,0.663985,0.664617,0.231049,3
303,0.335227,0.000704604,0.664068,0.664673,0.231049,3
304,0.335173,0.00067828,0.664148,0.664727,0.231049,3
305,0.335122,0.00065293,0.664225,0.664778,0.231049,3
306,0.335072,0.000628521,0.664299,0.664828,0.231049,3
307,0.335025,0.000605018,0.66437,0.664875,0.231049,3
308,0.334979,0.000582387,0.664439,0.664921,0.231049,3
309,0.334934,0.000560597,0.664505,0.664966,0.231049,3
310,0.334892,0.000539617,0.664569,0.665008,0.231049,3
311,0.334851,0.000519416,0.66463,0.665049,0.231049,3
312,0.334811,0.000499968,0.664689,0.665089,0.231049,3
313,0.334773,0.000481243,0.664745,0.665127,0.231049,3
314,0.334737,0.000463216,0.6648,0.665163,0.231049,3
315,0.334702,0.00044586,0.664852,0.665198,0.231049,3
316,0.334668,0.000429151,0.664903,0.665232,0.231049,3
317,0.334635,0.000413065,0.664952,0.665265,0.231049,3
318,0.334604,0.000397579,0.664998,0.665296,0.231049,3
319,0.334574,0.000382671,0.665043,0.665326,0.231049,3
320,0.334545,0.00036832,0.665087,0.665355,0.231049,3
321,0.334517,0.000354504,0.665129,0.665383,0.231049,3
322,0.33449,0.000341205,0.665169,0.66541,0.231049,3
323,0.334464,0.000328402,0.665207,0.665436,0.231049,3
324,0.334439,0.000316078,0.665245,0.665461,0.231049,3
325,0.334415,0.000304215,0.66528,0.665485,0.231049,3
326,0.334392,0.000292795,0.665315,0.665508,0.231049,3
327,0.33437,0.000281802,0.665348,0.66553,0.231049,3
328,0.334349,0.000271221,0.66538,0.665551,0.231049,3
329,0.334328,0.000261036,0.665411,0.665572,0.231049,3
330,0.334308,0.000251232,0.66544,0.665592,0.231049,3
331,0.334289,0.000241796,0.665469,0.665611,0.231049,3
332,0.334271,0.000232713,0.665496,0.665629,0.231049,3
333,0.334253,0.00022397,0.665523,0.665647,0.231049,3
334,0.334236,0.000215554,0.665548,0.665664,0.231049,3
335,0.33422,0.000207454,0.665572,0.66568,0.231049,3
336,0.334204,0.000199658,0.665596,0.665696,0.231049,3
337,0.334189,0.000192154,0.665619,0.665711,0.231049,3
338,0.334175,0.000184932,0.66564,0.665725,0.231049,3
339,0.334161,0.00017798,0.665661,0.665739,0.231049,3
340,0.334147,0.000171289,0.665681,0.665753,0.231049,3
341,0.334134,0.000164849,0.665701,0.665766,0.231049,3
342,0.334122,0.000158651,0.66572,0.665778,0.231049,3
343,0.33411,0.000152685,0.665738,0.66579,0.231049,3
344,0.334098,0.000146943,0.665755,0.665802,0.231049,3
345,0.334087,0.000141417,0.665772,0.665813,0.231049,3
346,0.334076,0.000136099,0.665788,0.665824,0.231049,3
347,0.334066,0.00013098,0.665803,0.665834,0.231049,3
348,0.334056,0.000126053,0.665818,0.665844,0.231049,3
349,0.334047,0.000121311,0.665832,0.665853,0.231049,3
350,0.334037,0.000116748,0.665846,0.665863,0.231049,3
351,0.334029,0.000112356,0.665859,0.665871,0.231049,3
352,0.33402,0.000108129,0.665872,0.66588,0.231049,3
353,0.334012,0.00010406,0.665884,0.665888,0.231049,3
354,0.334004,0.000100145,0.665896,0.665896,0.231049,3
355,0.333996,9.63766e-05,0.665907,0.665904,0.231049,3
356,0.333989,9.275e-05,0.665918,0.665911,0.231049,3
357,0.333982,8.92597e-05,0.665929,0.665918,0.231049,3
358,0.333975,8.59006e-05,0.665939,0.665925,0.231049,3
359,0.333969,8.26678e-05,0.665948,0.665931,0.231049,3
360,0.333963,7.95566e-05,0.665958,0.665937,0.231049,3
361,0.333957,7.65623e-05,0.665967,0.665943,0.231049,3
362,0.333951,7.36806e-05,0.665976,0.665949,0.231049,3
363,0.333945,7.09073e-05,0.665984,0.665955,0.231049,3
364,0.33394,6.82383e-05,0.665992,0.66596,0.231049,3
365,0.333935,6.56697e-05,0.666,0.665965,0.231049,3
366,0.33393,6.31977e-05,0.666007,0.66597,0.231049,3
